         1159224 function calls (1156976 primitive calls) in 0.193 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
      201    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
      104    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        8    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      166    0.000    0.000    0.001    0.000 __init__.py:280(_compile)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 _format_impl.py:1(<module>)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
      307    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.001    0.001    0.001    0.001 __init__.py:873(blas_fpe_check)
      862    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1379    0.000    0.000    0.001    0.000 typing.py:1215(__setattr__)
       24    0.000    0.000    0.001    0.000 typing.py:1288(__or__)
17999/17969    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        9    0.000    0.000    0.001    0.000 _compiler.py:745(compile)
    13491    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 overrides.py:1(<module>)
     9114    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
       31    0.000    0.000    0.001    0.000 typing.py:1589(copy_with)
      269    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
     6429    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      458    0.000    0.000    0.001    0.000 _inspect.py:97(getargspec)
     6827    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
      307    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
        7    0.000    0.000    0.001    0.000 __init__.py:226(compile)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       21    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     1744    0.000    0.000    0.001    0.000 typing.py:1161(_is_dunder)
      104    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
       24    0.000    0.000    0.001    0.000 inspect.py:3346(signature)
       24    0.000    0.000    0.001    0.000 inspect.py:3081(from_callable)
      106    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       24    0.000    0.000    0.000    0.000 inspect.py:2501(_signature_from_callable)
      197    0.000    0.000    0.000    0.000 typing.py:1174(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:2814(__new__)
       10    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
      323    0.000    0.000    0.000    0.000 typing.py:175(_type_check)
       70    0.000    0.000    0.000    0.000 typing.py:1417(copy_with)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils_impl.py:1(<module>)
      255    0.000    0.000    0.000    0.000 typing.py:730(<genexpr>)
     4462    0.000    0.000    0.000    0.000 typing.py:1630(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       82    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        9    0.000    0.000    0.000    0.000 _parser.py:969(parse)
       24    0.000    0.000    0.000    0.000 inspect.py:2397(_signature_from_function)
        8    0.000    0.000    0.000    0.000 typing.py:2795(_make_nmtuple)
      377    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     15/9    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
      458    0.000    0.000    0.000    0.000 _inspect.py:66(getargs)
  788/783    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x101177330}
     1471    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     2902    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       53    0.000    0.000    0.000    0.000 __init__.py:179(sub)
     15/9    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
       76    0.000    0.000    0.000    0.000 typing.py:1640(__hash__)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       27    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:76(add_newdoc_for_scalar_type)
     3052    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
