         128089 function calls (125668 primitive calls) in 0.545 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.615    0.068 __init__.py:1(<module>)
    101/1    0.000    0.000    0.545    0.545 {built-in method builtins.exec}
        1    0.014    0.014    0.545    0.545 matmult.py:1(<module>)
    127/2    0.000    0.000    0.531    0.265 <frozen importlib._bootstrap>:1349(_find_and_load)
    127/2    0.000    0.000    0.531    0.265 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    124/2    0.000    0.000    0.530    0.265 <frozen importlib._bootstrap>:911(_load_unlocked)
    100/2    0.000    0.000    0.530    0.265 <frozen importlib._bootstrap_external>:993(exec_module)
    316/4    0.000    0.000    0.502    0.125 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    392/6    0.000    0.000    0.494    0.082 {built-in method builtins.__import__}
   146/20    0.000    0.000    0.493    0.025 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.443    0.443 __init__.py:704(__getattr__)
      124    0.000    0.000    0.357    0.003 <frozen importlib._bootstrap>:806(module_from_spec)
       24    0.000    0.000    0.356    0.015 <frozen importlib._bootstrap_external>:1291(create_module)
       24    0.356    0.015    0.356    0.015 {built-in method _imp.create_dynamic}
    24/11    0.000    0.000    0.267    0.024 <frozen importlib._bootstrap_external>:1299(exec_module)
    24/11    0.029    0.001    0.267    0.024 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.167    0.167 secrets.py:1(<module>)
        1    0.000    0.000    0.135    0.135 _pickle.py:1(<module>)
        1    0.000    0.000    0.118    0.118 hmac.py:1(<module>)
      100    0.000    0.000    0.101    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
      184    0.000    0.000    0.095    0.001 <frozen importlib._bootstrap_external>:1187(get_data)
      184    0.074    0.000    0.074    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.053    0.053 __config__.py:1(<module>)
        1    0.000    0.000    0.031    0.031 hashlib.py:1(<module>)
       14    0.000    0.000    0.031    0.002 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.030    0.015 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.029    0.029 multiarray.py:1(<module>)
        1    0.000    0.000    0.023    0.023 base64.py:1(<module>)
      184    0.019    0.000    0.019    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.016    0.016 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.013    0.013 defmatrix.py:1(<module>)
        1    0.000    0.000    0.013    0.013 random.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _linalg.py:1(<module>)
      126    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      126    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      126    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
      203    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.007    0.007 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
      472    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      472    0.005    0.000    0.005    0.000 {built-in method posix.stat}
  254/130    0.000    0.000    0.005    0.000 typing.py:392(inner)
      350    0.000    0.000    0.005    0.000 function_base.py:490(add_newdoc)
        1    0.000    0.000    0.004    0.004 shape_base.py:1(<module>)
      100    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      373    0.002    0.000    0.004    0.000 inspect.py:882(cleandoc)
      151    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      160    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      100    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
